County,Population,deaths2018,fips
"Towner County, ND",2192,14.37992917,38095
"Traill County, ND",8037,56.11103883,38097
"Walsh County, ND",10667,82.30546974,38099
"Ward County, ND",67744,443.9293676,38101
"Wells County, ND",3957,28.08099559,38103
"Williams County, ND",35350,272.6871898,38105
"Adams County, OH",27724,291.2485675,39001
"Allen County, OH",102663,883.6231787,39003
"Ashland County, OH",53745,436.4819558,39005
"Ashtabula County, OH",97493,897.4162405,39007
"Athens County, OH",65818,532.8199657,39009
"Auglaize County, OH",45804,339.2752664,39011
"Belmont County, OH",67505,591.7522053,39013
"Brown County, OH",43602,419.392232,39015
"Butler County, OH",382378,3259.560868,39017
"Carroll County, OH",27081,221.6458888,39019
"Champaign County, OH",38754,329.6814406,39021
"Clark County, OH",134585,1329.793561,39023
"Clermont County, OH",205466,1630.70625,39025
"Clinton County, OH",42057,375.2611528,39027
"Columbiana County, OH",102665,908.5007225,39029
"Coshocton County, OH",36629,306.9891142,39031
"Crawford County, OH",41550,390.848939,39033
"Cuyahoga County, OH",1243857,10310.3058,39035
"Darke County, OH",51323,433.0494457,39037
"Defiance County, OH",38165,304.7390015,39039
"Delaware County, OH",204826,1198.175431,39041
"Erie County, OH",74615,651.1422231,39043
"Fairfield County, OH",155782,1224.385765,39045
"Fayette County, OH",28666,303.4609515,39047
"Franklin County, OH",1310300,10899.98387,39049
"Fulton County, OH",42276,344.2524816,39051
"Gallia County, OH",29979,316.3603926,39053
"Geauga County, OH",94031,581.1924467,39055
"Greene County, OH",167995,1217.559442,39057
"Guernsey County, OH",39022,356.8240619,39059
"Hamilton County, OH",816684,6932.027403,39061
"Hancock County, OH",75930,629.6682544,39063
"Hardin County, OH",31480,283.6087765,39065
"Harrison County, OH",15174,135.3577955,39067
"Henry County, OH",27086,201.9871638,39069
"Highland County, OH",43058,391.0342411,39071
"Hocking County, OH",28385,258.2934706,39073
"Holmes County, OH",43892,321.8530133,39075
"Huron County, OH",58504,497.2650837,39077
"Jackson County, OH",32384,362.4098837,39079
"Jefferson County, OH",65767,636.3156743,39081
"Knox County, OH",61893,510.8163392,39083
"Lake County, OH",230514,1788.989187,39085
"Lawrence County, OH",59866,657.6308037,39087
"Licking County, OH",175769,1420.878513,39089
"Logan County, OH",45358,405.8358668,39091
"Lorain County, OH",309461,2476.580279,39093
"Lucas County, OH",429899,3891.965926,39095
"Madison County, OH",44413,387.342798,39097
"Mahoning County, OH",229642,1981.665786,39099
"Marion County, OH",65256,615.6068323,39101
"Medina County, OH",179146,1269.422584,39103
"Meigs County, OH",23106,240.5784397,39105
"Mercer County, OH",40959,299.2935569,39107
"Miami County, OH",106222,875.6552199,39109
"Monroe County, OH",13790,112.3279159,39111
"Montgomery County, OH",532331,4917.302921,39113
"Morgan County, OH",14604,120.7750313,39115
"Morrow County, OH",35112,263.3892738,39117
"Muskingum County, OH",86183,786.2989315,39119
"Noble County, OH",14354,88.456525,39121
"Ottawa County, OH",40769,323.9398741,39123
"Paulding County, OH",18760,156.8890671,39125
"Perry County, OH",36033,323.4591126,39127
"Pickaway County, OH",58086,535.0297588,39129
"Pike County, OH",28067,295.4887211,39131
"Portage County, OH",162927,1319.42575,39133
"Preble County, OH",40997,381.836492,39135
"Putnam County, OH",33780,238.4458136,39137
"Richland County, OH",121099,1076.736823,39139
"Ross County, OH",76931,734.500774,39141
"Sandusky County, OH",58799,509.0037353,39143
"Scioto County, OH",75502,820.9556449,39145
"Seneca County, OH",55207,463.4822715,39147
"Shelby County, OH",48627,395.9505344,39149
"Stark County, OH",371574,3141.442657,39151
"Summit County, OH",541918,4493.029493,39153
"Trumbull County, OH",198627,1764.579757,39155
"Tuscarawas County, OH",92176,759.2884316,39157
"Union County, OH",57835,436.6166573,39159
"Van Wert County, OH",28281,232.1737179,39161
"Vinton County, OH",13139,126.4732548,39163
"Warren County, OH",232173,1753.153027,39165
"Washington County, OH",60155,522.0826383,39167
"Wayne County, OH",115967,907.8619621,39169
"Williams County, OH",36804,316.4298735,39171
"Wood County, OH",130696,1038.38669,39173
"Wyandot County, OH",21935,178.8553578,39175
"Adair County, OK",22082,229.1193725,40001
"Alfalfa County, OK",5754,41.09167314,40003
"Atoka County, OK",13838,128.4978691,40005
"Beaver County, OK",5319,39.54548844,40007
"Beckham County, OK",21709,217.9582876,40009
"Blaine County, OK",9485,96.23952088,40011
"Bryan County, OK",47192,422.4022209,40013
"Caddo County, OK",28977,311.3351664,40015
"Canadian County, OK",144447,1111.352588,40017
"Carter County, OK",48177,476.8960935,40019
"Cherokee County, OK",48675,438.9728915,40021
"Choctaw County, OK",14668,153.1329421,40023
"Cimarron County, OK",2153,NA,40025
"Cleveland County, OK",281669,2041.014885,40027
"Coal County, OK",5520,58.7239496,40029
"Comanche County, OK",120422,1092.628947,40031
"Cotton County, OK",5776,58.75004491,40033
"Craig County, OK",14306,144.6266024,40035
"Creek County, OK",71604,675.840321,40037
"Custer County, OK",29036,279.1950773,40039
"Delaware County, OK",42733,362.2380973,40041
"Dewey County, OK",4894,50.05899679,40043
"Ellis County, OK",3952,39.07242283,40045
"Garfield County, OK",60913,554.135104,40047
"Garvin County, OK",27811,288.3119091,40049
"Grady County, OK",55551,492.6003442,40051
"Grant County, OK",4326,41.43915776,40053
"Greer County, OK",5821,49.38747896,40055
"Harmon County, OK",2664,26.5097304,40057
"Harper County, OK",3797,30.51813437,40059
"Haskell County, OK",12668,118.5157696,40061
"Hughes County, OK",13335,144.0844528,40063
"Jackson County, OK",24949,224.4207458,40065
"Jefferson County, OK",6123,62.83214418,40067
"Johnston County, OK",10949,112.7115243,40069
"Kay County, OK",44161,430.0458533,40071
"Kingfisher County, OK",15816,134.5588376,40073
"Kiowa County, OK",8729,100.6053621,40075
